Recorder,StartTime,EndTime,StartTemp,EndTemp,SheetName,Year,species,1,2,3,4,5,6,7,8,9,10,E
Matt Berry,9:40,10:16,72,74,14-May-04,2004,Cabbage White,0,0,0,0,1,0,0,2,0,0,NA
Matt Berry,9:40,10:16,72,74,14-May-04,2004,Eastern Tailed Blue,0,0,0,0,0,0,0,0,1,0,NA
Matt Berry,9:40,10:16,72,74,14-May-04,2004,Spicebush Swallowtail,0,0,0,1,0,0,0,0,0,0,NA
Matt Berry,9:40,10:16,72,74,14-May-04,2004,Sulphur sp.,0,1,0,0,0,0,0,2,0,0,NA
Matt Berry,9:40,10:16,72,74,14-May-04,2004,Eastern Tiger Swallowtail,0,0,0,0,1,1,0,0,0,0,NA
Matt Berry,13:49,14:20,77,79,20-May-04,2004,Cabbage White,0,2,0,0,0,0,0,2,0,0,NA
Matt Berry,13:49,14:20,77,79,20-May-04,2004,Sulphur sp.,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Cabbage White,0,10,5,0,0,0,0,0,4,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,European Skipper,0,0,0,0,0,0,1,0,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Least Skipper,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Little Wood Satyr,0,1,0,1,0,0,7,6,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Red Admiral,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Silver-spotted Skipper,0,0,0,0,0,0,2,0,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Spring Azure,0,0,1,0,4,0,0,0,2,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Sulphur sp.,0,0,2,0,0,0,0,0,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Eastern Tiger Swallowtail,0,0,1,0,0,0,0,0,0,0,NA
Matt Berry,12:26,13:02,72,70,27-May-04,2004,Viceroy,0,1,0,0,0,0,0,0,0,0,NA
Matt Berry,13:53,14:39,69,73,3-Jun-04,2004,Cabbage White,0,6,5,1,1,0,2,0,21,0,NA
Matt Berry,13:53,14:39,69,73,3-Jun-04,2004,Eastern Tailed Blue,0,0,0,0,0,0,0,0,1,0,NA
Matt Berry,13:53,14:39,69,73,3-Jun-04,2004,European Skipper,0,0,23,0,1,0,0,1,5,0,NA
Matt Berry,13:53,14:39,69,73,3-Jun-04,2004,Little Wood Satyr,0,0,0,0,1,0,4,2,0,0,NA
Matt Berry,13:53,14:39,69,73,3-Jun-04,2004,Red Admiral,0,0,0,1,0,0,0,0,0,0,NA
